"FiberNumber=""PS-212983-1"""								
"OperatorName=""Иванов Иван Иванович"""								
DateTimeMeasurement=2021-12-13 16-28-51-2023								
X_MM	Fi	Diameter	UpPointY_PX	DownPointY_PX			Dср	157,626721
3	75	156,05	784	829				
4	75	155,417	784	829				
5	75	155,68	784	829				
6	75	155,525	784	829				
0	76	157,554	784	830				
1	76	158,151	784	830				
2	76	158,843	784	830				
3	76	158,927	784	830				
4	76	157,757	784	829				
5	76	156,539	784	829				
6	76	156,778	784	830				
0	77	155,25	785	830				
1	77	155,31	785	830				
2	77	155,56	785	830				
3	77	155,907	785	830				
4	77	155,381	785	830				
5	77	155,656	785	830				
6	77	155,441	785	830				
0	78	155,262	785	830				
1	78	155,381	785	830				
2	78	155,548	785	830				
3	78	155,823	785	830				
4	78	155,357	785	830				
5	78	155,548	785	830				
6	78	155,381	785	830				
0	79	158,545	785	831				
1	79	158,736	785	831				
2	79	158,736	785	831				
3	79	156,861	785	830				
4	79	155,68	785	830				
5	79	155,632	785	830				
6	79	155,716	785	830				
0	80	155,25	786	831				
1	80	155,405	786	831				
2	80	155,525	786	831				
3	80	155,716	786	831				
4	80	155,381	786	831				
5	80	155,381	786	831				
6	80	155,346	786	831				
0	81	158,7	786	832				
1	81	158,676	786	832				
2	81	157,243	786	831				
3	81	155,704	786	831				
4	81	155,453	786	831				
5	81	155,465	786	831				
6	81	155,525	786	831				
0	82	155,322	787	832				
1	82	156,861	786	832				
2	82	158,581	786	832				
3	82	158,664	786	832				
4	82	157,924	786	832				
5	82	156,229	786	831				
6	82	156,85	786	831				
0	83	155,25	787	832				
1	83	155,322	787	832				
2	83	156,098	786	832				
3	83	158,127	786	832				
4	83	158,688	786	832				
5	83	158,437	786	832				
6	83	158,664	786	832				
0	84	155,25	787	832				
1	84	155,357	787	832				
2	84	155,405	787	832				
3	84	155,477	787	832				
4	84	155,31	787	832				
5	84	155,286	787	832				
6	84	155,381	786	832				
0	85	155,322	787	832				
1	85	155,441	787	832				
